2 1.0 2.0 100 273
4.0 3.0 5.0 0.0 0.0 
45.0 2.0 1.0 1.0 1.0
12.0 2.0 1.0 1.0 2.0
30.0 1.0 1.0 1.0 3.0
24.0 1.0 1.0 1.0 4.0
34.0 2.0 1.0 1.0 5.0
15.0 1.0 1.0 2.0 1.0
45.0 2.0 1.0 2.0 2.0
12.0 2.0 1.0 2.0 3.0
15.0 1.0 1.0 2.0 4.0
19.0 1.0 1.0 2.0 5.0
6.0 2.0 1.0 3.0 1.0
50.0 1.0 1.0 3.0 2.0
26.0 2.0 1.0 3.0 3.0
11.0 2.0 1.0 3.0 4.0
38.0 2.0 1.0 3.0 5.0
50.0 1.0 2.0 1.0 1.0
18.0 1.0 2.0 1.0 2.0
34.0 2.0 2.0 1.0 3.0
55.0 2.0 2.0 1.0 4.0
21.0 2.0 2.0 1.0 5.0
43.0 1.0 2.0 2.0 1.0
19.0 1.0 2.0 2.0 2.0
41.0 1.0 2.0 2.0 3.0
25.0 2.0 2.0 2.0 4.0
3.0 1.0 2.0 2.0 5.0
49.0 2.0 2.0 3.0 1.0
31.0 2.0 2.0 3.0 2.0
17.0 2.0 2.0 3.0 3.0
70.0 1.0 2.0 3.0 4.0
61.0 1.0 2.0 3.0 5.0
43.0 2.0 3.0 1.0 1.0
17.0 1.0 3.0 1.0 2.0
52.0 2.0 3.0 1.0 3.0
35.0 2.0 3.0 1.0 4.0
55.0 1.0 3.0 1.0 5.0
41.0 1.0 3.0 2.0 1.0
33.0 2.0 3.0 2.0 2.0
49.0 2.0 3.0 2.0 3.0
69.0 2.0 3.0 2.0 4.0
72.0 1.0 3.0 2.0 5.0
13.0 1.0 3.0 3.0 1.0
46.0 2.0 3.0 3.0 2.0
52.0 1.0 3.0 3.0 3.0
47.0 2.0 3.0 3.0 4.0
39.0 2.0 3.0 3.0 5.0
63.0 1.0 4.0 1.0 1.0
32.0 2.0 4.0 1.0 2.0
46.0 2.0 4.0 1.0 3.0
4.0 1.0 4.0 1.0 4.0
22.0 2.0 4.0 1.0 5.0
73.0 1.0 4.0 2.0 1.0
57.0 2.0 4.0 2.0 2.0
64.0 2.0 4.0 2.0 3.0
54.0 1.0 4.0 2.0 4.0
29.0 2.0 4.0 2.0 5.0
51.0 1.0 4.0 3.0 1.0
74.0 1.0 4.0 3.0 2.0
54.0 2.0 4.0 3.0 3.0
23.0 1.0 4.0 3.0 4.0
45.0 1.0 4.0 3.0 5.0
