2 1.0 2.0 100 273
4 3 5 0 0 
45.0 2.0 1 1 1
12.0 2.0 1 1 2
30.0 1.0 1 1 3
24.0 1.0 1 1 4
34.0 2.0 1 1 5
15.0 1.0 1 2 1
45.0 2.0 1 2 2
12.0 2.0 1 2 3
15.0 1.0 1 2 4
19.0 1.0 1 2 5
6.0 2.0 1 3 1
50.0 1.0 1 3 2
26.0 2.0 1 3 3
11.0 2.0 1 3 4
38.0 2.0 1 3 5
50.0 1.0 2 1 1
18.0 1.0 2 1 2
34.0 2.0 2 1 3
55.0 2.0 2 1 4
21.0 2.0 2 1 5
43.0 1.0 2 2 1
19.0 1.0 2 2 2
41.0 1.0 2 2 3
25.0 2.0 2 2 4
3.0 1.0 2 2 5
49.0 2.0 2 3 1
31.0 2.0 2 3 2
17.0 2.0 2 3 3
70.0 1.0 2 3 4
61.0 1.0 2 3 5
43.0 2.0 3 1 1
17.0 1.0 3 1 2
52.0 2.0 3 1 3
35.0 2.0 3 1 4
55.0 1.0 3 1 5
41.0 1.0 3 2 1
33.0 2.0 3 2 2
49.0 2.0 3 2 3
69.0 2.0 3 2 4
72.0 1.0 3 2 5
13.0 1.0 3 3 1
46.0 2.0 3 3 2
52.0 1.0 3 3 3
47.0 2.0 3 3 4
39.0 2.0 3 3 5
63.0 1.0 4 1 1
32.0 2.0 4 1 2
46.0 2.0 4 1 3
4.0 1.0 4 1 4
22.0 2.0 4 1 5
73.0 1.0 4 2 1
57.0 2.0 4 2 2
64.0 2.0 4 2 3
54.0 1.0 4 2 4
29.0 2.0 4 2 5
51.0 1.0 4 3 1
74.0 1.0 4 3 2
54.0 2.0 4 3 3
23.0 1.0 4 3 4
45.0 1.0 4 3 5
